"","Amp_name","Chr","Start","End","Color","Color2","L1_DNA_count","L2_DNA_count","L3_DNA_count","L4_DNA_count","L1_RNA_count","L2_RNA_count","L3_RNA_count","L4_RNA_count","DNA_count_mean","DNA_count_SD","RNA_count_mean","RNA_count_SD","Pass_DNA_count","L1_DNA_prop","L2_DNA_prop","L3_DNA_prop","L4_DNA_prop","L1_RNA_prop","L2_RNA_prop","L3_RNA_prop","L4_RNA_prop","DNA_prop_mean","DNA_prop_SD","RNA_prop_mean","RNA_prop_SD","Sign","L1_Activity","L2_Activity","L3_Activity","L4_Activity","Mean_act","Mean_act_SD","Maxi_counts","Maxi_prop","GC","GC_above_mean","Perfect_In_silico_specificity","Amp_name2","At_least_1_specific_in_sil_prod","MeanRatio_MoM","MeanRatio","MeanRatio_sd","MSD","Amp_Full_Name","Pass_MeanRatio_SD","Pass_prop_DNA_and_RNA","Passed_QC","Passed_QC_with_SD","Act_Rank_Clean","training","fit","lwr","upr","Residuals_Manual","Residuals_Z_scaled_to_lm","Pvalue"
"11_LD","11_LD","12",2264510,2265429,"STAR408","LD",113672,106012,125465,96002,129767,168528,100385,121187,110287.75,12438.7399783901,129966.75,28514.1710075885,TRUE,0.0075862723201028,0.0116132262556712,0.00965758216547229,0.0112238042834379,0.0104532234677921,0.0104987057906724,0.00685968384550347,0.0143012427278569,0.010020221256171,0.00182956202094452,0.0105282139579562,0.00303865944071957,"Positive",1.37791302852287,0.904030073946545,0.710289980242483,1.27418853418178,1.06660540422342,0.31272704401316,162115,0.00985165852129792,0.51,"TRUE",TRUE,"11_LD",TRUE,1.05069675497158,1.06660540422342,0.31272704401316,0.75387836021026,"11_CACNA1C",TRUE,TRUE,TRUE,TRUE,170,TRUE,-7.14627928008468,-7.33894824210351,-6.95361031806584,0.576683803734522,0.742957432822314,0.228753726148727
"110_LD","110_LD","2",166136064,166136985,"STAR408","LD",28282,19339,33543,15842,425,642,30041,5626,24251.5,8112.32085575186,9183.5,14110.9845746733,TRUE,0.00188774985174766,0.00211883259582686,0.00258220867862599,0.00185245181583545,3.45916915370584e-05,4.0332311133028e-05,0.00205305624236621,0.000664299250704805,0.00211031073550899,0.00033604804232786,0.000698069873935275,0.000950429817445157,"Negative",0.0183242983730253,0.0190351570069596,0.795077585851293,0.358605414200858,0.297760613858034,0.368238507433239,33573,0.00204048448680666,0.42,"TRUE",TRUE,"110_LD",TRUE,0.3307900880137,0.297760613858034,0.368238507433239,-0.0704778935752053,"110_SCN1A",FALSE,TRUE,TRUE,FALSE,40,TRUE,-9.02881633493244,-9.1274926262944,-8.93014004357049,-1.45552459308957,-1.8751919302894,0.969616838029241
"111_LD","111_LD","2",166138716,166139621,"STAR408","LD",72503,77234,100167,62216,94050,134473,76065,71342,78030,16034.44947605,93982.5,28711.8685854242,TRUE,0.00483884906796891,0.00846080669314305,0.00771035736107032,0.00727394756599258,0.00757618220391413,0.00837726678536095,0.0051978906107102,0.00841921118072037,0.00707099017204372,0.00156674035042858,0.00739263769517641,0.00151370967250661,"Positive",1.56569921844952,0.990126247908512,0.674143929690523,1.15744732888675,1.09685418123383,0.371286954154498,169870,0.0103229103661228,0.46,"TRUE",TRUE,"111_LD",TRUE,1.04548832841041,1.09685418123383,0.371286954154498,0.725567227079329,"111_SCN1A",TRUE,TRUE,TRUE,TRUE,168,TRUE,-7.43231761621603,-7.58182616454941,-7.28280906788266,0.352622541769426,0.454293213528322,0.324808899992546
"112_LD","112_LD","2",166141792,166142721,"STAR408","LD",52731,16582,26928,14546,802,27684,31525,459,27696.75,17547.8825194571,15117.5,16802.0647639906,TRUE,0.00351935982749206,0.00181682339665075,0.00207304225910195,0.00170093893162871,6.49594311703417e-05,0.00172490002752214,0.00215445842823928,5.4559918694481e-05,0.00227754110371837,0.000842350756440676,0.000999719451406563,0.00109945620047679,"Negative",0.0184577407126433,0.949404345354607,1.03927376240396,0.0320763536420664,0.509803050528318,0.560723206684235,29076,0.00176721310754457,0.38,"FALSE",TRUE,"112_LD",TRUE,0.438946831639787,0.509803050528318,0.560723206684235,-0.0509201561559171,"112_SCN1A",FALSE,TRUE,TRUE,FALSE,64,TRUE,-8.73552514533185,-8.84706552548549,-8.62398476517821,-1.23066394218081,-1.5854978364722,0.943573365952367
"113_LD","113_LD","2",166142876,166143784,"STAR408","LD",57291,31735,42612,26251,38708,45166,54128,28533,39472.25,13687.3709522075,41633.75,10782.2807845403,TRUE,0.00382367253923465,0.00347672379386351,0.00328026313949726,0.00306934812116571,0.00311832690740175,0.00281393237786289,0.00369892851401364,0.00336747302240221,0.00341250189844028,0.000320638608575448,0.00324966520542012,0.000375423781757748,"Negative",0.815531893854569,0.80936322374229,1.12763164316767,1.09712971271674,0.962414118370318,0.173631876955634,50471,0.00306733344539477,0.42,"TRUE",TRUE,"113_LD",TRUE,0.952282314305939,0.962414118370318,0.173631876955634,0.788782241414684,"113_SCN1A",TRUE,TRUE,TRUE,TRUE,157,TRUE,-8.32223926664641,-8.42743077310037,-8.21704776019245,0.0567460750915831,0.073107512296623,0.470860281854737
"114_LD","114_LD","2",166143876,166144775,"STAR408","LD",12496,11644,18806,16930,8175,29938,46999,8083,14969,3451.54284342524,23298.75,18850.538036088,TRUE,0.000834267293070359,0.00127590158833316,0.00144787980114667,0.00197964781739173,0.000658862201239833,0.00186531181780175,0.00321180170600208,0.000954241100665975,0.00138442412498548,0.000473556595527625,0.00167255420642741,0.00114745857746289,"Positive",0.789749528373596,1.46195587093719,2.21827924076187,0.482025687742392,1.23800258195376,0.771044587572793,22083,0.00134226608615703,0.35,"FALSE",TRUE,"114_LD",TRUE,1.20812269610294,1.23800258195376,0.771044587572793,0.46695799438097,"114_SCN1A",TRUE,TRUE,TRUE,TRUE,189,TRUE,-9.3315105021962,-9.46713763498709,-9.19588336940531,0.107779185995309,0.138854857410936,0.444782421934079
"115_LD","115_LD","2",166151801,166152715,"STAR408","LD",34930,8407,9172,9436,19910,10629,74558,5486,15486.25,12969.8428768432,27645.75,31839.3118055337,TRUE,0.00233140575255132,0.000921311897461534,0.000706336447300176,0.00110353859343698,0.0016041285794801,0.000662467426271631,0.00509491682761671,0.000647778347573114,0.0012656481726875,0.000728815434183947,0.00200232279523539,0.00210971558533493,"Positive",0.688052080906405,0.719047944672059,7.21315861172246,0.587001081272201,2.30181492964328,3.27471449945093,10631,0.000646356849930787,0.35,"FALSE",TRUE,"115_LD",TRUE,1.582053242319,2.30181492964328,3.27471449945093,-0.972899569807653,"115_SCN1A",FALSE,TRUE,TRUE,FALSE,237,TRUE,-9.46338418281229,-9.60073688955305,-9.32603147607153,0.499274468500861,0.643228880348248,0.260037798087949
"116_GWAS","116_GWAS","3",168143186,168144057,"STAR408","GWAS",1548,4423,14904,4702,47728,100273,30005,34737,6394.25,5849.54473299703,53185.75,32273.3104114943,TRUE,0.000103649843912938,0.000484893816388769,0.00114753703939568,0.000550095696959566,0.00384489722966227,0.00624679507836784,0.00205059635106471,0.00409958504403798,0.000571544099164238,0.00043153262014817,0.0040604684257832,0.00171926447829257,"Positive",37.0950604893513,12.8828103540083,1.78695439072241,7.45249429635026,14.8043298826081,15.5356628381852,7210,0.000438471284341372,0.47,"TRUE",TRUE,"116_GWAS",TRUE,7.10438342679203,14.8043298826081,15.5356628381852,-0.731332955577082,"116_EPIL",FALSE,TRUE,TRUE,FALSE,307,FALSE,-11.1756867687136,-11.4034121105548,-10.9479614268725,3.23154865396746,4.16329204400082,1.56845862829432e-05
"117_GWAS","117_GWAS","4",175086606,175087522,"STAR408","GWAS",117035,38940,59141,41297,76667,83143,123213,64620,64103.25,36422.1007665675,86910.75,25389.3760245632,TRUE,0.00781070294501296,0.00426597888275137,0.00455252493062542,0.00482834723827582,0.00617596358840918,0.00517969039004059,0.00841952825191223,0.00762597181749734,0.00536438849916639,0.0016469588884458,0.00685028851196483,0.00145026550895771,"Positive",0.79070521973345,1.21418566111136,1.84941947165912,1.57941660803595,1.35843174013497,0.459355925047722,78910,0.00479549994635864,0.44,"TRUE",TRUE,"117_GWAS",TRUE,1.27699336336832,1.35843174013497,0.459355925047722,0.899075815087248,"117_EPIL",TRUE,TRUE,TRUE,TRUE,197,TRUE,-7.74781672686822,-7.87652091149035,-7.61911254224608,0.558197193201271,0.719140629550875,0.236027137886813
"118_GWAS","118_GWAS","1",186900475,186901398,"STAR408","GWAS",50197,16642,19564,13195,18338,20626,103204,22050,24899.5,17064.7071759231,41054.5,41461.2041753091,TRUE,0.00335025271969476,0.00182339595811269,0.00150622419207626,0.00154299610249035,0.00147750235480232,0.0012852254863538,0.00705230700047396,0.00260243720095399,0.00205571724309351,0.000874570534752538,0.00310436801064602,0.00269531248596359,"Positive",0.441012209651139,0.704852657282443,4.68210976664284,1.68661294526522,1.87864689471041,1.94429657473234,33111,0.00201240990881709,0.35,"FALSE",TRUE,"118_GWAS",TRUE,1.51011430247793,1.87864689471041,1.94429657473234,-0.0656496800219299,"118_EPIL",FALSE,TRUE,TRUE,FALSE,228,TRUE,-8.75029440144092,-8.8871419790801,-8.61344682380173,0.418809710277806,0.539563943315284,0.294748894109563
"119_GWAS","119_GWAS","1",200857177,200858093,"STAR408","GWAS",10185,5464,8915,12280,222,1548,122,1697,9211,2857.45002872608,897.25,840.644742643011,TRUE,0.000680042144641167,0.000598927757753415,0.00068655477385835,0.00143602520044623,1.82398317345212e-05,9.67711230200385e-05,8.68157987525256e-06,0.000200651904959002,0.000850387469174791,0.000392454761894921,8.10861098972036e-05,8.89458067814786e-05,"Negative",0.0268216196279213,0.161573949056942,0.0126451380222195,0.139727286747232,0.0851919983635786,0.0763292170577434,8818,0.000536185399941424,0.33,"FALSE",TRUE,"119_GWAS",TRUE,0.0953519575916245,0.0851919983635786,0.0763292170577434,0.00886278130583519,"119_EPIL",TRUE,TRUE,TRUE,TRUE,4,FALSE,-9.9574046781465,-10.1236361971806,-9.79117315911239,-3.63278099527176,-4.68021058468168,0.99999856709799
"12_LD","12_LD","12",2274374,2275292,"STAR408","LD",88954,73763,96276,65072,56206,67138,34735,51332,81016.25,14173.8796000483,52352.75,13476.8715305148,TRUE,0.00593671056377534,0.00808058401256987,0.00741086128573124,0.00760783707007781,0.00452780889176035,0.00418266700786443,0.00237379873595665,0.00605790209739802,0.00725899823303857,0.000925238490771196,0.00428554418324486,0.00151275676975237,"Negative",0.762679743794175,0.517619395003879,0.320313475645149,0.796271271531852,0.599220971493764,0.223603666870081,144139,0.00875930221406748,0.52,"TRUE",TRUE,"12_LD",TRUE,0.59037680485162,0.599220971493764,0.223603666870081,0.375617304623683,"12_CACNA1C",TRUE,TRUE,TRUE,TRUE,88,TRUE,-7.66550044449396,-7.84957773209591,-7.481423156892,-0.200805429151066,-0.258703097213285,0.602067835164878
"120_GWAS","120_GWAS","1",239806532,239807447,"STAR408","GWAS",31741,9080,14988,8663,25529,28887,410,15488,16118,10808.4149007459,17578.5,12783.0643822207,TRUE,0.00211858706006292,0.000995034128526285,0.00115400264472297,0.0010131686401254,0.00205674483677299,0.00179984030423304,2.83607102872782e-05,0.00182807886988147,0.00132019811835939,0.000536980619911165,0.00142825618029369,0.00094032587658758,"Positive",0.970809685164368,1.80882268520652,0.0245759491253908,1.80431844954775,1.15213169226101,0.848695126008475,10610,0.000645080732749443,0.35,"FALSE",TRUE,"120_GWAS",TRUE,1.08184988331038,1.15213169226101,0.848695126008475,0.303436566252532,"120_EPIL",TRUE,TRUE,TRUE,TRUE,175,TRUE,-9.40134696378622,-9.53779839801753,-9.26489552955491,-0.0501825481675375,-0.0646515420020351,0.525774277033768
"121_FBDHS","121_FBDHS","2",148300372,148301287,"STAR408","FBDHS",12943,6036,12763,6426,26739,30175,55353,26518,9542,3827.23285590691,34696.25,13872.5703308123,TRUE,0.000864097947050389,0.000661586177023902,0.000982741075041795,0.000751645243543231,0.00215421158732013,0.00188007561296424,0.00378263314857868,0.0031296900237568,0.000815017610664829,0.00013916094000118,0.00273665259315497,0.00087968088768014,"Positive",2.49301782821446,2.84176979244281,3.84906385277303,4.16378610872803,3.33690939553958,0.796522335078082,8834,0.000537157679698639,0.38,"FALSE",TRUE,"121_FBDHS",TRUE,3.35778338694131,3.33690939553958,0.796522335078082,2.5403870604615,"121_FBDHS",TRUE,TRUE,TRUE,TRUE,294,FALSE,-10.2463290536767,-10.3925558653694,-10.1001022419841,1.73295707111102,2.23261573917313,0.0127871476411639
"122_FBDHS","122_FBDHS","2",148302908,148303799,"STAR408","FBDHS",900,1312,1335,543,6548,13046,44618,932,1022.5,377.002652510563,16286,19525.8272039881,TRUE,6.04054059284654e-05,0.00014410650458722,0.00010311086456248,6.38749520399235e-05,0.000527805669719006,0.000813033219131348,0.00304910722853321,0.000110376969989407,9.28744317795223e-05,3.92628633069353e-05,0.00112508077184324,0.00131473860954825,"Positive",8.73772242080543,5.64189119332405,29.5711537428299,1.72801648321268,11.419695960043,12.4362384547392,1339,8.17053809284937e-05,0.31,"FALSE",TRUE,"122_FBDHS",TRUE,12.1139989799788,11.419695960043,12.4362384547392,-1.01654249469616,"122_FBDHS",FALSE,TRUE,TRUE,FALSE,308,FALSE,-13.1224164587946,-13.46773306598,-12.7770998516092,3.32666075331227,4.28582754907648,9.10300902938337e-06
"123_FBDHS","123_FBDHS","2",148303776,148304690,"STAR408","FBDHS",16793,6439,9402,6005,764,10186,4565,3432,9659.75,4989.32589802136,4736.75,3966.90218138369,TRUE,0.0011210286356927,0.000705731881509927,0.00072403989045823,0.000702426937793971,6.18984918969604e-05,0.000634870965271691,0.000312273164669106,0.000405393097341025,0.000813306836363708,0.000205367975621156,0.000353608929794696,0.000237060862555122,"Negative",0.0552157990671774,0.899592298300839,0.431292762711562,0.57713204823009,0.490808227077417,0.350161426022786,10620,0.000645688407597702,0.35,"FALSE",TRUE,"123_FBDHS",TRUE,0.434779241959504,0.490808227077417,0.350161426022786,0.140646801054631,"123_FBDHS",TRUE,TRUE,TRUE,TRUE,63,TRUE,-10.1135373170831,-10.2689170210009,-9.95815761316525,-1.35202035445691,-1.74184460386414,0.959232180281933
"124_FBDHS","124_FBDHS","2",148305264,148306163,"STAR408","FBDHS",49734,18924,24949,18390,68842,62240,26331,22103,27999.25,14791.9035370705,44879,24072.1427518754,TRUE,0.00331935430181388,0.00207337237904845,0.0019207156764507,0.00215033362830365,0.00554565175119315,0.00387754857450618,0.00179955077768352,0.00260869154285385,0.00236594399640417,0.00064272997167411,0.00345786066155917,0.00163361454463727,"Positive",1.67070196398218,1.87016505751164,0.936916796039755,1.21315665091085,1.42273511711111,0.424901433000424,28857,0.0017539050283677,0.38,"FALSE",TRUE,"124_FBDHS",TRUE,1.46151416382405,1.42273511711111,0.424901433000424,0.997833684110683,"124_FBDHS",TRUE,TRUE,TRUE,TRUE,221,TRUE,-8.67954021191845,-8.79187763547388,-8.56720278836303,0.503635662365028,0.648847525048131,0.258218467728612
"125_FBDHS","125_FBDHS","2",148305742,148306665,"STAR408","FBDHS",24526,11803,13270,12939,34255,44444,13260,12730,15634.5,5960.86528953641,26172.25,15775.5927595975,TRUE,0.00163709227602284,0.00129331887620729,0.00102176562148151,0.00151306763153593,0.00275963315518156,0.00276895575293748,0.000906405244296061,0.00150261707818716,0.00136631110131189,0.000270123043777283,0.00198440280765057,0.000932863271761414,"Positive",1.68569187919316,2.14096910195693,0.887097026206286,0.993093135342432,1.4267127856747,0.593420431411452,17190,0.00104493078290389,0.34,"FALSE",TRUE,"125_FBDHS",TRUE,1.45237991973073,1.4267127856747,0.593420431411452,0.833292354263252,"125_FBDHS",TRUE,TRUE,TRUE,TRUE,218,TRUE,-9.30557860609174,-9.45050005751257,-9.16065715467091,0.328499224984672,0.423214488248547,0.336069388532317
"126_FBDHS","126_FBDHS","2",165401032,165401951,"STAR408","FBDHS",45010,23085,32557,21512,46545,42156,28791,15654,30541,10809.4248073922,33286.5,13971.0465964437,TRUE,0.00300409701008757,0.00252917951643393,0.00250631478752233,0.00251532068423997,0.00374960535701989,0.00262642594984975,0.0019676433499529,0.00184766794073761,0.00263872799957095,0.000243760817336548,0.00254783564939004,0.00087126054083893,"Negative",1.24816387234798,1.03844979479864,0.785074309000929,0.734565557510974,0.951563383414632,0.238276986484736,47638,0.00289517916088299,0.37,"FALSE",TRUE,"126_FBDHS",TRUE,0.965554482994955,0.951563383414632,0.238276986484736,0.713286396929897,"126_FBDHS",TRUE,TRUE,TRUE,TRUE,161,TRUE,-8.4738222502536,-8.59797170046999,-8.34967280003722,-0.14268981625588,-0.183831172106507,0.572927049474451
"127_FBDHS","127_FBDHS","2",165401931,165402845,"STAR408","FBDHS",32160,14923,20660,17539,86540,72652,35671,72377,21320.5,7597.34096027463,66810,21787.0808355166,TRUE,0.00214654912721646,0.00163509207222813,0.00159058494729898,0.00205084484399814,0.00697124394225376,0.0045261588497463,0.00243775590979574,0.00854134785744394,0.00185576774768543,0.000283800725596384,0.00561912663980994,0.00268845038118405,"Positive",3.24765170937118,2.76813699156312,1.53261598126863,4.16479475882363,2.92829986025664,1.09612816651616,23845,0.00144933839442027,0.36,"FALSE",TRUE,"127_FBDHS",TRUE,3.02792558326239,2.92829986025664,1.09612816651616,1.83217169374048,"127_FBDHS",TRUE,TRUE,TRUE,TRUE,284,FALSE,-8.94602469317595,-9.0715225856412,-8.8205268007107,1.4705863235992,1.8945963674538,0.0290729482101231
"128_FBDHS","128_FBDHS","2",165406035,165406957,"STAR408","FBDHS",14680,14993,19071,19518,38322,9990,255,1643,17065.5,2583.45072851538,12552.5,17709.5005858437,TRUE,0.000980017065536546,0.0016427600606004,0.00146827724652443,0.00228220595344656,0.00308723420846687,0.000622661244377812,1.77695116280283e-05,0.000194279556608207,0.00159331508152698,0.000538140116812719,0.00098048613027023,0.0014272783164971,"Negative",3.15018413151475,0.379033590669499,0.0121022863155379,0.0851279685406167,0.9066119942601,1.5040986812839,21777,0.00132367123580031,0.43,"TRUE",TRUE,"128_FBDHS",TRUE,0.615374913372792,0.9066119942601,1.5040986812839,-0.597486687023804,"128_FBDHS",FALSE,TRUE,TRUE,FALSE,95,TRUE,-9.48725358858232,-9.59941848261425,-9.3750886945504,-0.506961568435356,-0.653132380318589,0.743164530597526
